,created_at,total_accounts,last_hour,last_day,last_week,hourly_increment,daily_increment
0,2022-01-01 16:00:00+00:00,4839738,53,1179,10247,,
1,2022-01-01 17:00:00+00:00,4839813,75,1192,10261,75,
2,2022-01-01 18:00:00+00:00,4839885,72,1205,10279,72,
3,2022-01-01 19:00:00+00:00,4839961,76,1244,10325,76,
4,2022-01-01 20:00:00+00:00,4840025,64,1284,10334,64,
5,2022-01-01 21:00:00+00:00,4840083,58,1305,10341,58,
6,2022-01-01 22:00:00+00:00,4840138,55,1310,10357,55,
7,2022-01-01 23:00:00+00:00,4840183,45,1318,10374,45,
8,2022-01-02 00:00:00+00:00,4840237,54,1338,10377,54,
9,2022-01-02 01:00:00+00:00,4840286,49,1352,10376,49,
10,2022-01-02 02:00:00+00:00,4840368,82,1393,10417,82,
11,2022-01-02 03:00:00+00:00,4840425,57,1411,10408,57,
12,2022-01-02 04:00:00+00:00,4840489,64,1414,10414,64,
13,2022-01-02 05:00:00+00:00,4840567,78,1437,10436,78,
14,2022-01-02 06:00:00+00:00,4840601,34,1429,10401,34,
15,2022-01-02 07:00:00+00:00,4840647,46,1423,10402,46,
16,2022-01-02 08:00:00+00:00,4840691,44,1382,10395,44,
17,2022-01-02 09:00:00+00:00,4840744,53,1381,10379,53,
18,2022-01-02 10:00:00+00:00,4840813,69,1387,10401,69,
19,2022-01-02 11:00:00+00:00,4840894,81,1416,10424,81,
20,2022-01-02 12:00:00+00:00,4840946,52,1404,10420,52,
21,2022-01-02 13:00:00+00:00,4840992,46,1389,10402,46,
22,2022-01-02 14:00:00+00:00,4841046,54,1388,10383,54,
23,2022-01-02 15:00:00+00:00,4841107,61,1422,10402,61,
24,2022-01-02 16:00:00+00:00,4841184,77,1446,10421,77,1446
25,2022-01-02 17:00:00+00:00,4841266,82,1453,10449,82,1453
26,2022-01-02 18:00:00+00:00,4841352,86,1467,10489,86,1467
27,2022-01-02 19:00:00+00:00,4841413,61,1452,10487,61,1452
28,2022-01-02 20:00:00+00:00,4841490,77,1465,10514,77,1465
29,2022-01-02 21:00:00+00:00,4841563,73,1480,10540,73,1480
30,2022-01-02 22:00:00+00:00,4841617,54,1479,10543,54,1479
31,2022-01-02 23:00:00+00:00,4841679,62,1496,10582,62,1496
32,2022-01-03 00:00:00+00:00,4841731,52,1494,10581,52,1494
33,2022-01-03 01:00:00+00:00,4841778,47,1492,10568,47,1492
34,2022-01-03 02:00:00+00:00,4841846,68,1478,10541,68,1478
35,2022-01-03 03:00:00+00:00,4841909,63,1484,10532,63,1484
36,2022-01-03 04:00:00+00:00,4841940,31,1451,10518,31,1451
37,2022-01-03 05:00:00+00:00,4842025,85,1458,10536,85,1458
38,2022-01-03 06:00:00+00:00,4842117,92,1516,10572,92,1516
39,2022-01-03 07:00:00+00:00,4842192,75,1545,10566,75,1545
40,2022-01-03 08:00:00+00:00,4842283,91,1592,10572,91,1592
41,2022-01-03 09:00:00+00:00,4842378,95,1634,10585,95,1634
42,2022-01-03 10:00:00+00:00,4842476,98,1663,10587,98,1663
43,2022-01-03 11:00:00+00:00,4842574,98,1680,10583,98,1680
44,2022-01-03 12:00:00+00:00,4842641,67,1695,10580,67,1695
45,2022-01-03 13:00:00+00:00,4842697,56,1705,10647,56,1705
46,2022-01-03 14:00:00+00:00,4842762,65,1716,10645,65,1716
47,2022-01-03 15:00:00+00:00,4842861,99,1754,10690,99,1754
48,2022-01-03 16:00:00+00:00,4842932,71,1748,10694,71,1748
49,2022-01-03 17:00:00+00:00,4843008,76,1742,10691,76,1742
50,2022-01-03 18:00:00+00:00,4843090,82,1738,10694,82,1738
51,2022-01-03 19:00:00+00:00,4843154,64,1741,10689,64,1741
52,2022-01-03 20:00:00+00:00,4843241,87,1751,10702,87,1751
53,2022-01-03 21:00:00+00:00,4843266,25,1703,10777,25,1703
54,2022-01-03 22:00:00+00:00,4843359,93,1742,10868,93,1742
55,2022-01-03 23:00:00+00:00,4843424,65,1745,10867,65,1745
56,2022-01-04 00:00:00+00:00,4843482,58,1751,10870,58,1751
57,2022-01-04 01:00:00+00:00,4843549,67,1771,10870,67,1771
58,2022-01-04 02:00:00+00:00,4843611,62,1765,10888,62,1765
59,2022-01-04 03:00:00+00:00,4843657,46,1748,10877,46,1748
60,2022-01-04 04:00:00+00:00,4843728,71,1788,10866,71,1788
61,2022-01-04 05:00:00+00:00,4843781,53,1756,10840,53,1756
62,2022-01-04 06:00:00+00:00,4843840,59,1723,10812,59,1723
63,2022-01-04 07:00:00+00:00,4843935,95,1743,10803,95,1743
64,2022-01-04 08:00:00+00:00,4844035,100,1752,10794,100,1752
65,2022-01-04 09:00:00+00:00,4844127,92,1749,10803,92,1749
66,2022-01-04 10:00:00+00:00,4844208,81,1732,10782,81,1732
67,2022-01-04 11:00:00+00:00,4844300,92,1726,10779,92,1726
68,2022-01-04 12:00:00+00:00,4844378,78,1737,10737,78,1737
69,2022-01-04 13:00:00+00:00,4844446,68,1749,10721,68,1749
70,2022-01-04 14:00:00+00:00,4844523,77,1761,10694,77,1761
71,2022-01-04 15:00:00+00:00,4844600,77,1739,10679,77,1739
72,2022-01-04 16:00:00+00:00,4844696,96,1764,10674,96,1764
73,2022-01-04 17:00:00+00:00,4844778,82,1770,10666,82,1770
74,2022-01-04 18:00:00+00:00,4844865,87,1775,10690,87,1775
75,2022-01-04 19:00:00+00:00,4844930,65,1776,10673,65,1776
76,2022-01-04 20:00:00+00:00,4844952,22,1711,10652,22,1711
77,2022-01-04 21:00:00+00:00,4844994,42,1728,10629,42,1728
78,2022-01-04 22:00:00+00:00,4845015,21,1656,10578,21,1656
79,2022-01-04 23:00:00+00:00,4845083,68,1659,10570,68,1659
80,2022-01-05 00:00:00+00:00,4845123,40,1641,10547,40,1641
81,2022-01-05 01:00:00+00:00,4845182,59,1633,10600,59,1633
82,2022-01-05 02:00:00+00:00,4845242,60,1631,10634,60,1631
83,2022-01-05 03:00:00+00:00,4845280,38,1623,10627,38,1623
84,2022-01-05 04:00:00+00:00,4845318,38,1590,10674,38,1590
85,2022-01-05 05:00:00+00:00,4845377,59,1596,10766,59,1596
86,2022-01-05 06:00:00+00:00,4845452,75,1612,10755,75,1612
87,2022-01-05 07:00:00+00:00,4845524,72,1589,10735,72,1589
88,2022-01-05 08:00:00+00:00,4845590,66,1555,10699,66,1555
89,2022-01-05 09:00:00+00:00,4845659,69,1532,10707,69,1532
90,2022-01-05 10:00:00+00:00,4845726,67,1518,10709,67,1518
91,2022-01-05 11:00:00+00:00,4845819,93,1519,10706,93,1519
92,2022-01-05 12:00:00+00:00,4845887,68,1509,10704,68,1509
